n,sessions,throughput,vlink_throughput,generation_latency_max,generation_latency_min,generation_latency_agg,generation_latency_avg,vlink_generation_latency_max,vlink_generation_latency_min,vlink_generation_latency_agg,vlink_generation_latency_avg,fidelity_avg,fidelity_loss_avg,vlink_fidelity_avg,vlink_fidelity_loss_avg,swaps,c_message_count,q_message_count,vlink_swaps,vlink_c_message_count,vlink_q_message_count
340,34,128.91018871846805,126.88705751566604,0.011298199000000153,0.0036900232000004252,52.78062705120003,0.00776185691929412,0.011297052599999979,0.0036780501999997828,53.6967536694,0.007896581421970588,0.9704498575373343,0.02955014246266561,0.9698001881820936,0.030199811817906562,1.1352941176470588,35840.0,14520.0,1.1764705882352942,36400.0,14800.0
340,136,131.2614680127575,128.34337475536128,0.01131227560000001,0.0036202343999999108,207.2418342631999,0.00761918508320588,0.01132885140000064,0.0035926828000002243,211.63436696979997,0.0077921174389893235,0.9710593863558653,0.028940613644134562,0.9702978216826873,0.0297021783173127,1.0911764705882354,140960.0,56880.0,1.1443246187363834,143640.0,58240.0
360,36,126.09517344140757,128.4228552362403,0.011287442600000386,0.004264877200000327,57.13937004899996,0.00793602361791666,0.011260618200000039,0.003677882600000537,56.110814270999995,0.007793168648749999,0.9696681859516734,0.030331814048326633,0.9702821879823189,0.02971781201768118,1.1888888888888889,38720.0,15760.0,1.1444444444444444,38080.0,15440.0
360,144,130.75652763373378,127.29296432233461,0.011365922800000127,0.0035800697999995635,220.3902131682001,0.007652437957229169,0.01134143779999989,0.0036182795999997186,226.2531487644,0.007856012109874999,0.9709261206888982,0.02907387931110179,0.9700093976783514,0.029990602321648675,1.101388888888889,149840.0,60520.0,1.163888888888889,153440.0,62320.0
380,38,129.97009945035603,127.71703668615426,0.01125344160000039,0.0036778928000003154,58.50318115339998,0.007697786993868418,0.011337671200000265,0.00426865059999928,59.555932971199994,0.007836306969894735,0.9707163715909551,0.029283628409044794,0.9701397767511708,0.02986022324882929,1.1157894736842107,39760.0,16080.0,1.157894736842105,40400.0,16400.0
380,152,131.21717034682524,130.315730482214,0.011358563800000332,0.0036027111999999304,231.69843699519998,0.007621659111684209,0.011348035800000034,0.003625048600000369,233.29948874679994,0.007674325287723683,0.9710689986226114,0.028931001377388577,0.970825116999402,0.029174883000597986,1.0921052631578947,157600.0,63600.0,1.1078947368421053,158560.0,64080.0
400,40,128.65742098506013,130.22268577106348,0.011260602000000475,0.003674956000000318,62.2370896808,0.007779636210099999,0.011747597800000256,0.004227013000000057,61.50444312219997,0.007688055390274997,0.9703757034673505,0.029624296532649485,0.9705177003734992,0.029482299626500775,1.1400000000000001,42240.0,17120.0,1.1199999999999999,41840.2,16880.0
400,160,131.72904960845875,131.24652828199672,0.011370341999999667,0.003638387000000165,242.94429214180005,0.0075920091294312516,0.013727320799999554,0.0035738210000003435,243.89718701279995,0.007621787094149998,0.9712249052263161,0.028775094773684007,0.9710168366531429,0.0289831633468572,1.0825,165280.0,66640.0,1.09375,165920.2,66920.0
420,42,131.21364145366312,132.62109803431707,0.011284443200000637,0.004271030600000003,64.10679038680001,0.007631760760333335,0.012440690200000094,0.004578776800000362,63.39821241679999,0.0075474062400952375,0.9710389685185042,0.02896103148149587,0.9711696292281798,0.028830370771820046,1.0952380952380953,43600.0,17600.0,1.0761904761904764,43200.2,17360.0
420,168,132.63205377036144,133.42852795913956,0.011344672800000132,0.0036055320000000445,253.44005742880003,0.0075428588520476195,0.011324224999999456,0.003607784200000186,251.9099119336,0.0074973188075476175,0.9714258813298509,0.02857411867014914,0.9716354203674378,0.028364579632562247,1.0678571428571426,172560.0,69480.0,1.0535714285714286,171600.0,69000.0
440,44,134.49500101939816,132.50403140572774,0.011299455800000269,0.0036872774000004326,65.48924796879997,0.007441959996454542,0.012532715400000305,0.003645924600000061,66.44611540479998,0.007550694932363634,0.9718794637592195,0.028120536240780526,0.9711116399559616,0.028888360044038365,1.0363636363636364,44640.0,17920.0,1.0772727272727272,45280.2,18200.0
440,176,132.2366465991004,130.34953225881185,0.011332184000000068,0.003581213200000133,266.20523268520003,0.007562648655829546,0.013118989799999967,0.003581897600000361,270.0581001808,0.007672105118772728,0.9713420365483747,0.028657963451625346,0.9707808725515111,0.029219127448488934,1.0738636363636365,181200.0,73000.0,1.1090909090909091,183600.2,74160.0
460,46,133.27117116088786,128.90555385336557,0.011224944599999453,0.0036671128000003604,69.06535822340007,0.0075071041547173974,0.011279248999999592,0.004244789599999877,71.12715376959999,0.0077646239204661825,0.9715995587495053,0.0284004412504947,0.9704694656939772,0.02953053430602277,1.0565217391304347,47040.0,18920.0,1.1352657004830917,48280.0,19560.0
460,184,132.48940890771314,132.1977052116046,0.011394405799999906,0.0036222220000002637,277.81494602000004,0.007549319185326088,0.011380864600000285,0.0036141993999996734,278.46165362520003,0.007566892761554348,0.9714245886245285,0.028575411375471527,0.9713329387972044,0.028667061202795607,1.0695652173913044,189120.0,76160.0,1.075,189520.0,76360.0
480,48,134.36821320676435,137.4427091968054,0.011259225799999762,0.003664893000000058,71.46715009320002,0.007444494801375002,0.011215579200000114,0.003629174599999979,69.90729769520003,0.007282010176583337,0.9718743280866284,0.028125671913371564,0.9725646865523776,0.0274353134476224,1.0375,48720.0,19560.0,0.9875,47760.0,19080.0
480,192,133.9726298778698,134.530174410288,0.011313935400000119,0.0036159043999990812,286.6665733532,0.007465275347739583,0.011336890799999954,0.0035895237999996324,285.4683762744,0.0074340722988125,0.9718019846934377,0.02819801530656225,0.9719163779239175,0.02808362207608246,1.0437500000000002,195360.0,78480.0,1.034375,194640.0,78120.0
500,50,134.39160598943917,131.94326670910107,0.01130465400000027,0.004262252800000521,74.41928719199998,0.007441928719199999,0.011230962400000521,0.0036228196000003265,75.84371858380001,0.007584371858380003,0.9719233404344964,0.028076659565503582,0.9712716532906149,0.028728346709385,1.036,50720.0,20360.0,1.08,51600.0,20800.0
500,200,134.68798325495075,135.20212725329662,0.01133941460000063,0.0035645781999999572,297.0592443458,0.007426481108644999,0.011296520599999842,0.0036009099999997573,295.89837327660007,0.007397459331915,0.97195303205138,0.02804696794862005,0.9720960419929725,0.027903958007027697,1.032,202560.0,81280.0,1.0230000000000001,201840.0,80920.0
