n,throughput,vlink_throughput,generation_latency_max,generation_latency_min,generation_latency_agg,generation_latency_avg,vlink_generation_latency_max,vlink_generation_latency_min,vlink_generation_latency_agg,vlink_generation_latency_avg,fidelity_avg,fidelity_loss_avg,vlink_fidelity_avg,vlink_fidelity_loss_avg,swaps,c_message_count,q_message_count,vlink_swaps,vlink_c_message_count,vlink_q_message_count
52,5.995138417236602,105.90835083222022,0.1694063969999995,0.1638299320000005,83.23410825099998,0.16680182014228453,0.166215721,0.00833781200000061,4.721063033000098,0.009442126066000195,0.5113615726115619,0.4886384273884381,0.47168514175437287,0.5283148582456272,50.05811623246493,51457,25480,2.0,3503,1000
53,5.8824210155508805,105.39059284929877,0.17272674599999993,0.1677606569999952,84.82901830400002,0.16999803267334673,0.17034255,0.008316458999999554,4.744256450999998,0.009488512901999997,0.5060354401729806,0.49396455982701937,0.46781486693568913,0.5321851330643108,51.05811623246493,52455,25979,2.0,3503,1000
54,5.768927076728527,105.21141527510028,0.1759043560000002,0.17093562599999856,86.49788658500005,0.17334245808617244,0.173588683,0.008279367999999732,4.752336034000028,0.009504672068000056,0.5007208162630833,0.4992791837369167,0.46099498165066577,0.5390050183493342,52.06012024048096,53455,26478,2.0,3503,1000
55,5.66294618937847,105.10251706135644,0.17962213799999915,0.17404682299999763,88.11667695800006,0.17658652696993998,0.176244397,0.008384638999999083,4.757259996999991,0.009514519993999982,0.49558520276152535,0.5044147972384747,0.44342284072288474,0.5565771592771153,53.05811623246493,54451,26977,2.0,3503,1000
56,5.561756725816881,105.1219792978496,0.18226992900000027,0.17659330499999992,89.7198537440002,0.1797993061002008,0.178089863,0.008300403999999872,4.756379239999984,0.009512758479999968,0.4905562646088528,0.5094437353911472,0.4358579129031335,0.5641420870968665,54.06012024048096,55451,27476,2.0,3503,1000
57,5.463386707597224,104.45241109993756,0.18549413900000022,0.18090414300000002,91.33528829400001,0.18303664988777557,0.182864818,0.00823574299999974,4.78686891700003,0.009573737834000059,0.4856338937305027,0.5143661062694973,0.4326096162806663,0.5673903837193337,55.05811623246493,56447,27975,2.0,3503,1000
58,5.366308161320406,104.39983279648497,0.189561608,0.18386567,92.98757823800015,0.18634785218036104,0.186493437,0.008309133999999996,4.789279701000004,0.009578559402000008,0.48075350284634416,0.5192464971536559,0.4294288845172626,0.5705711154827374,56.06012024048096,57447,28474,2.0,3503,1000
59,5.27537822850186,104.32153794476707,0.1923412789999972,0.18671957600000155,94.59037407099996,0.18955986787775542,0.189879388,0.008275070999999912,4.792874125999988,0.009585748251999975,0.4760439291267742,0.5239560708732258,0.42630571329995853,0.5736942867000414,57.05811623246493,58444,28973,2.0,3503,1000
60,5.186999607018436,103.88084015810936,0.19546623500000493,0.19048452099999835,96.20205085899988,0.1927896810801601,0.193825217,0.008248762999997439,4.813207125000018,0.009626414250000036,0.471417578976742,0.5285824210232579,0.4232233405385832,0.5767766594614168,58.05811623246493,59442,29472,2.0,3503,1000
61,5.0994589821529175,103.75098174418306,0.19865841700000075,0.1931596930000019,97.85351774499996,0.19609923395791576,0.196146607,0.008389193999999378,4.819231506000021,0.009638463012000041,0.46682992975900667,0.5331700702409934,0.42022126585516095,0.579778734144839,59.06012024048096,60441,29971,2.0,3503,1000
